No,code,name,explanation_vietnamese,Definition,Long-Term
113,700-7600-0000,Pet Care,"Chăm sóc thú cưng - Doanh nghiệp cung cấp các dịch vụ chăm sóc thú cưng chuyên dụng (Nội trú, chải chuốt, ngồi, đi bộ, huấn luyện. Danh mục này không bao gồm dịch vụ thú y,","A business that provides specialized pet care services, such as boarding, grooming, sitting, walking, and training. This category excludes veterinary services.",
114,700-7600-0116,Post Office,"Bưu điện - Một văn phòng hoặc quầy nhận, sắp xếp, gửi và vận chuyển thư đến khu vực cụ thể. Điêu này bao gồm chi nhánh địa phươnog hoặc văn phòng quốc gia. Một số có thể tính cước bưu phí và cung cấp các dịch vụ vận chuyển khác.","An office or station that receives, sorts, dispatches and delivers mail to a specific area or region. This includes local branch or national offices. Some locations may also sell postage and provide other delivery-related services.",
115,700-7800-0118,Fueling Station,Doanh nghiệp bán nhiên liệu cho xe cộ. ,A business that sells fuel for vehicles. This is a base-level category that should be used for all Places that do not fit other categories defined for Fueling Station (700-7600-xxxx).,
116,700-7800-0119,Petrol-Gasoline Station,"Trạm xăng - Doanh nghiệp bán nhiên liệu, dầu và các nguồn cung cấp động cơ khác.","A business that sells fuel, oil, and other motoring supplies.",
117,700-7800-0120,Automobile Dealership-New Cars,Đại lý ô tô xe mới - Một doanh nghiệp bán ô tô mới. Lưu ý: danh mục này được bảo vệ và sở hữu riêng của HERE.,A business that sells new automobiles. Note: This category is a HERE protected category. Note: This category is a HERE owned category.,
118,700-7850-0000,Automobile Dealership-Used Cars,Đại lý ô tô đã qua sữ dụng. - Doanh nghiệp bán ô tô đã qua sở hữu.,A business that sells previously-owned automobiles.,
119,700-7850-0121,Motorcycle Dealership,Đại lý xe máy - Doanh nghiệp bán xe máy. Lưu ý: danh mục này được bảo vệ và sở hữu riêng của HERE.,A business that sells motorcycles. Note: This category is a HERE protected category. Note: This category is a HERE owned category.,
120,700-7850-0123,Car Repair-Service,Dich vụ sửa chữa xe hơi - Doanh nghiệp cung cấp dịch vụ sửa chữa ô tô.,A business that provides automotive repair services. This is a base-level category that should be used for all Places that do not fit other categories defined for Car Repair-Service (700-7850-xxxx).,
121,700-7851-0117,Car Wash-Detailing,"Rửa sửa xe - Doanh nghiệp cung cấp dịch vụ làm sạch ô tô- Một số có thể cung cấp chi tiết bên ngoài, chi tiết nội thất của xe hoặc cả hai.","A business that provides automobile cleaning services. Some businesses may provide exterior detailing, interior detailing, or both.",
122,700-7900-0130,Auto Parts,Phụ tùng ô tô - Doanh nghiệp bán các bộ phận và phụ kiện cho ô tô. Đại lý ô tô bán phụ tùng ô tô như một dịch vụ kèm theo không được áp dụng.,A business that sells parts and accessories for automobiles. Auto dealerships that sell auto parts as a sub-service are not applicable.,
123,800-8000-0154,Rental Car Agency,Đại lý thuê xe hơi - Doanh nghiệp cho thuê hoặc cho thuê ô tô.,A business that rents or leases automobiles.,
124,800-8000-0155,Truck Dealership,Đại lý xe tải - Một đại lý bán xe tải nặng mới/ xe tải lớn. Lưu ý: danh mục này được bảo vệ và sở hữu riêng của HERE.',A trucking dealership that sells new heavy trucks/lorries. Note: This category is a HERE protected category. Note: This category is a HERE owned category.,
125,800-8000-0157,Dentist-Dental Office,"Nha sĩ Nha khoa - Cơ sở chăm sóc sức khỏe cung cấp dịch vụ nha khoa. Các dịch vụ thường bao gồm việc làm sạch, kiểm tra, nha khoa thẩm mĩ, làm răng giả, niềng răng và các dịch vụ liên quan.","A health care facility that provides dental services. Services generally include cleanings, exams, cosmetic dentistry, dentures, braces, and other related services.",
126,800-8000-0158,Family-General Practice Physicians,"Bác sĩ đa khoa gia đình - Văn phòng Cơ sở chăm sóc sức khỏe cung cấp dịch vụ y tế cho cá nhân/ gia đình. Các dịch vụ thường bao gồm tư vấn y tế, điều trị cá bệnh cụ thể/ cấp tính/ chăm sóc phòng người và cac dịch vụ y tế liên quan.","A health care facility office that provides medical services to individual persons or families. Services generally include medical advice, treatment of specific or acute illnesses, preventive care and other related medical services.",
127,800-8000-0159,Nursing Home,"Viện Dưỡng Lão - Một cơ sở chăm sóc sức khỏe, cung cấp dịch vụ chăm sóc y tế và chăm sóc y tế toàn thời gian cho người già, bệnh mãn tính hoặc nhưng người không thể tự chăm sóc bản thân.","A health care facility that provides full-time care and medical treatment for the elderly, chronically ill, or other individuals who are unable to take care of themselves.",
128,800-8000-0161,Medical Services-Clinics,"Dịch vụ phòng khám - Cơ sở chăm sóc sức khỏe, cung cấp dịch vụ y tế nói chung, không liên quan trực tiếp hay kết nối với bệnh viên y tế. Một số nơi có thể chuyên lĩnh vực y học riêng biệt.",A health care facility that provides general medical services that are not directly associated or connected with a medical hospital. Some Places may specialize in particular conditions or areas of medicine.,
129,800-8000-0162,Hospital,Bệnh viện - Một tổ chức/ cơ sở cung cấp điều trị y tế hoặc phẩu thuật cho người bệnh/ bị thương. Một số địa điểm có thể bao gồm phòng cấp cứu phức hợp và trung tâm chấn thương. Lưu ý: danh mục này được bảo vệ và sở hữu riêng của HERE.',An institution or facility that provides medical or surgical treatment for the sick or injured. Some Places may include elaborate emergency rooms and trauma centers. Note: This category is a HERE protected category. Note: This category is a HERE owned category.,
130,800-8000-0367,Optical,"Hiệu Kính mắt - Cơ sở chăm sóc sức khỏe kinh doanh bán kính mắt, lens, và các dụng cụ quang học khác, và có bác sĩ nhãn khoa.","A health care facility that sells eyeglasses, lenses, and other optical instruments, and employs an optician.",
131,800-8100-0164,Veterinarian,"Bác sĩ thú ý - Cơ sở chăm sóc sức khỏe thực hành thuốc thú y hoặc phẩu thuật. Các dịch vụ bao gồm phòng, chữa bệnh, giảm đau cho động vật, đặc biệt là vật nuôi. Danh mục bao gồm cac địa điểm thú ý được đặt tên, bệnh viện động vật và dịch vụ thú y khẩn cấp.","A health care facility that practices veterinary medicine or surgery. Services generally include the prevention, cure, or alleviation of disease and injury to animals, especially domestic animals. This category includes all named veterinary locations, animal hospitals, and emergency veterinary services.",
132,800-8100-0169,Blood Bank,"Ngân hàng máu - Dịch vụ y tế trong đó máu được thu nhận từ người hiến, phân loại, được lưu trữ và chuẩn bị truyền máu cho người nhận.","A medical service where blood is collected from donors, typed, separated into components, stored, and prepared for transfusion into recipients.",
133,800-8100-0170,Embassy,Đại sứ quán - Tòa nhà chính phủ đại diện ngoại giao của nước ngoài. Lưu ý: Danh mục được sở hữu và bảo vệ bởi HERE.,A government building that houses diplomatic representatives of foreign countries. Note: This category is a HERE protected category. Note: This category is a HERE owned category.,
134,800-8100-0171,Civic-Community Center,"Trung tâm cộng đồng - Tòa nhà chính phủ cung cấp không gian cho các sự kiện cộng đồng, sự kiện đặc biệt, chương trình theo mùa, tổ chức các lớp học cũng như không gian chung cho thuê.","A government building that provides space to the public for community events, special events, seasonal programs, organized classes, as well as a general space for rent.",
135,800-8200-0173,Court House,Tòa án - Tòa nhà chính phủ phục vụ như một tòa án Pháp luật địa phương.,A government building that serves as the home for the local court of law.,
136,800-8200-0174,Government Office,"Văn phòng chính phủ - Tòa nha chính phủ bao gồm văn phòng liên bang, văn phòng đô thị, văn phòng tỉnh, các bộ và các cơ quan chính phủ khác. Ví dụ: Bộ tài chính/ Bộ nông nghiệp","A government building that often includes federal offices, municipality offices, state offices, provincial offices, ministries, and other governmental departments. Examples include the Department of Finance or the Ministry of Agriculture and Water.",
137,800-8200-0295,Higher Education,"Trường học bậc học cao: như Cao Đẳng, đại học, Trường nghề kỹ thuật, Academy chuyên về học thuật.","An institution that provides post-secondary, tertiary or third level education. Higher education includes educational institutions that serve students beyond secondary education, such as a college, university, technical institution or trade school. Note: This category is a HERE protected category. Note: This category is a HERE owned category.",
138,800-8300-0175,School,"Trường học nói chung: cấpTiểu học, Trung Học Cơ Sở, Trung Học Phổ thông.",An institution that provides basic elementary or secondary education to children and teenagers.,
139,800-8400-0000,Training and Development,"Đào tạo và phát triển - Tổ chức cung cấp giáo dụcva2 đào tạo, phát triển khóa học, ngôn ngữ thứ 2, kỹ năng thuyết trình, kỹ năn kỹ thuật và một số dịch vụ giáo dục liên quan.","An institution or business that provides education and training, such as development courses, second languages, presentation skills, technical skills and other related education services.",
140,800-8400-0139,Library,"Thư viện - Một nơi trong đó tài liệu văn học, âm hạc, nghệ thuật hoặc tài liệu tham khảo được lưu giữ để sử dụng và lưu hành, nhưng không phải để bán.","A place in which literary, musical, artistic, or reference materials are kept for use and circulation, but are not for sale.",
141,800-8400-0176,Event Spaces,"Không gian sự kiện - Cơ sở cung cấp không gian cho các sự kiện lớn, triển lãm thương mại, hội chợ thương mại hoặc hội nghị.","A facility that provides space for large events such as trade shows, trade fairs, or conventions. This is a base-level category that should be used for all Places that do not fit other categories defined for Fair-Convention Facility (800-8400-xxxx).",
142,800-8500-0000,Banquet Hall,"Phòng tiệc - Cơ sở cung cấp cho thuê phong hoặc tòa nhà ngắn hạn với mục đích tổ chức tiệc, sự kiện xã hội khác. Phòng tiệc đặt tại các cơ sở khác, chẳng hạn như CLB , nhà hàng và khách sạn.","An establishment that offers short-term rental of a room or building for the purposes of hosting a party, banquet, reception or other social event. Banquet halls are frequently co-located in other establishments, such as clubs, hotels and restaurants.",
143,800-8600-0000,Convention-Exhibition Center,"Trung tâm hội nghị - triễn lãm - Cơ sở cung cấp không gin cho các sự kiện lớn như triễn lãm thương mại, hôi chợ thương mại hoặc hội nghị.","A facility that provides space for large events such as trade shows, trade fairs, or conventions.",
144,800-8600-0181,Parking,Khu vực đỗ xe - Khu vực được dùng để đỗ xe cơ giới.,An area used to park motor vehicles. This is a base-level category that should be used for all Places that do not fit other categories defined for Parking Facility (800-8500-xxxx).,
145,800-8600-0182,Sports Facility-Venue,Địa điểm tổ chức thể thao - Cơ sở tổ chức cac sự kiện thể thao.,A facility where sporting events are held. This is a base-level category that should be used for all Places that do not fit other categories defined for Sports Facility-Venue (800-8600-xxxx).,
146,800-8600-0183,Ice Skating Rink,Sân trượt băng - Cơ sở cung cấp lại hình trượt băng.,A facility that provides a surface where all types of ice skating are played.,
147,800-8600-0184,Swimming Pool,Hồ bơi - Cơ sở cung cấp bể chứa nước để bơi lội.,A facility that provides a tank or basin filled with water for swimming.,
148,800-8600-0188,Tennis Court,Sân quần vợt - Cơ sở cung cấp Sân để chơi tennis.,A facility that provides a court upon which tennis is played.,
149,800-8600-0189,Bowling Center,Trung tâm Bowling -  Cơ sở trong nhà có những đường lane thiết kế rieng cho chơi Bowling.,An indoor facility containing alleys or lanes designed for bowling.,
150,800-8600-0191,Shooting Range,Trường bắn - Cơ sở cung cấp khu vực bắn kèm theo mục tiêu thực hành với súng.,A facility that provides an enclosed firing range with targets for firearm practice.,
151,800-8600-0192,Soccer Club,CLB Bóng đá - Cơ sở cung cấp sân bóng đá.,A facility that provides a field used to play soccer.,
152,800-8600-0193,Fitness-Health Club,"Câu lạc bộ thể hình, phòng Gym - Cơ sở cung cấp các lớp học, thiết bị tập để dục và điều hòa thể chất. Thường sẽ yêu cầu phí thành viên.","A facility that offers classes, instruction and equipment for exercising and physical conditioning. Membership fees are generally required.",
153,800-8600-0194,Indoor Sports,"Thế thao trong nhà - Cơ sở ung cấp khu vực thiết kế để chơi các môn thể thao trong nhà (Bóng rổ, bóng chuyền, cricket, thể dục dụng cụ, bóng bàn….)","A facility that provides an area designed to play a variety of indoor sports, such as basketball, volleyball, cricket, gymnastics, table tennis, handball and other sports.",
154,800-8600-0195,Golf Course,Sân Golf - Khu vực chơi golf. Khu vực thường chứa 9 -18 lỗ. Có thể là nơi công cộng hoặc tư nâhn. Yêu cầu phí thanh viên.,An area ground or course upon which golf is played. Course usually contain 9 or 18 holes. These places may be public or private. Membership fees may apply. Note: This category is a HERE protected category. Note: This category is a HERE owned category.,
155,800-8600-0197,Golf Practice Range,Sân tập chơi Golf - Khu vực dành cho thực hành những cú đánh dài và bóng được cơ sở cung cấp. Yêu cầu lệ phí tham gia.,A area that intended for practicing long golf shots with balls provided by the facility. Fees generally apply.,
156,800-8600-0199,Race Track,"Trường đua - Cơ sở cung cấp đường đất cỏ/ đường trải nhựa thiết kế cho động vật đua (ngựa, chó), xe cộ hoặc vận động viên. Thường có khán đài.","A facility that provides a dirt, grass or paved track designed for racing animals (horses or greyhounds), vehicles, or athletes. Race tracks often feature grandstands or concourses.",
157,800-8600-0200,Sports Activities,Hoạt động thể thao - Cơ sở hoạc khu vực chơi thể thao giải trí/ nghiệp dư.,A facility or designated area that where recreational or amateur sports are played.,
158,800-8600-0381,Basketball,Bóng rổ - Cơ sở được thiết kế để chơi bóng rổ.,A facility designed specifically for playing basketball.,
159,800-8700-0166,Badminton,Cầu lông - Cơ sở được thiết kế đặc biệt để chơi cầu lông,A facility designed specifically for playing badminton.,
160,800-8700-0167,Running Track,"Đường chạy - Đặc điểm chung: Bề mặt nhân tạo (Thường bọc cao su), được thiết kế với chiều dài và rộng đặc trưng.","Common features of running tracks are: an artificial surface (usually rubberized), which is usually built to a specific length and lane width.",
161,900-9200-0218,Cemetery,"Nghĩa trang - Khu vực được chỉ định có một phần, lăng hoặc bình tro cốt. Bao gồm: sân nhà thờ, bãi chôn lấp và nghĩa địa.","A designated area containing graves, tombs, or funeral urns. This category includes churchyards, burial grounds and graveyards.",
162,900-9200-0299,Crematorium,"Khu vục hỏa táng, trại thiêu - Cơ sở nơi thiêu/ hỏa táng.",A facility where human remains are incinerated.,
163,900-9300-0221,Industrial Zone,"Khu công nghiệp - Khu vực phi dân cư dành riêng cho sản xuát, hoạt đông công nghiệp/ kho lưu trữ. Bao gồm các khu kinh doanh các ngành công nghiệp dịch vụ.","A non-residential area that is dedicated to manufacturing, industrial activities or storage facilities. This also includes business parks containing service industries.",
164,400-4100-0044,Collective Community,"Cộng đồng tập thể - Cơ sở cung cấp khu vưc tổ chức sự kiện xã hội, chính trị, tôn giáo, tâm linh. VS: Kibbuts, Dojos, Moshavs, xã nông nghiệp, làng sinh thái, cộng đồng nghệ thuật, tu viện và nhà hợp tác xã.","A facility that provides an area for members to hold a common social, political, religious or spiritual events. For example, kibbutz, dojos, moshavs, agricultural communes, eco villages, art communities, convents, monasteries and housing cooperatives.",
165,000-0000-0000,Residential Area-Building,"Khu dân cư, chung cư - Tòa nhà chỉ định dành riêng cho dân dụng.",A building designated specifically for residential use.,
166,,Ferry Terminal,"Hải cảng, bến tàu",,
