No.,code,Cate,Keyword
159,800-8700-0166,Badminton,Cầu lông - Cơ sở được thiết kế đặc biệt để chơi cầu lông
160,800-8700-0167,Running Track,"Đường chạy - Đặc điểm chung: Bề mặt nhân tạo (Thường bọc cao su), được thiết kế với chiều dài và rộng đặc trưng."
161,900-9200-0218,Cemetery,"Nghĩa trang - Khu vực được chỉ định có một phần, lăng hoặc bình tro cốt. Bao gồm: sân nhà thờ, bãi chôn lấp và nghĩa địa."
162,900-9200-0299,Crematorium,"Khu vục hỏa táng, trại thiêu - Cơ sở nơi thiêu/ hỏa táng."
163,900-9300-0221,Industrial Zone,"Khu công nghiệp - Khu vực phi dân cư dành riêng cho sản xuát, hoạt đông công nghiệp/ kho lưu trữ. Bao gồm các khu kinh doanh các ngành công nghiệp dịch vụ."
164,400-4100-0044,Collective Community,"Cộng đồng tập thể - Cơ sở cung cấp khu vưc tổ chức sự kiện xã hội, chính trị, tôn giáo, tâm linh. VS: Kibbuts, Dojos, Moshavs, xã nông nghiệp, làng sinh thái, cộng đồng nghệ thuật, tu viện và nhà hợp tác xã."
165,000-0000-0000,Residential Area-Building,"Khu dân cư, chung cư - Tòa nhà chỉ định dành riêng cho dân dụng."
166,,Ferry Terminal,"Hải cảng, bến tàu"
167,,Auto Parts,Phụ tùng ô tô 
168,,Automobile Dealership-New Cars,Bán xe ô tô mới 
169,,Automobile Dealership-Used Cars,Bán xe ô tô đã qua sử dụng 
170,,Bakery ,Tiệm bánh 
171,,Banquet Hall,Nhà hàng 
172,,Barber ,Tiệm tóc (chỉ có nam)
173,,Barber ,Cắt tóc nam
174,,Bicycle and Bicycle Accessories Shop,Cửa hàng xe đạp
175,,Bicycle Service and Maintenance,Sửa chữa xe đạp 
176,,Bill Payment Service,Thanh toán hóa đơn
177,,Billiards-Pool Hall,Tiệm Bida 
178,,Body Piercing and Tattoos,Cửa hàng xăm 
179,,Bookstore ,Nhà sách 
180,,Bus station,Trạm xe buýt 
181,,Business Facility,Trung tâm đăng kiểm
182,,Butcher ,Bán thịt sống
183,,Car Repair-Service,Dịch vụ sửa chữa xe ô tô/ garage 
184,,Car Wash-Detailing,Dịch vụ rửa xe ô tô
185,,Car Wash-Detailing,Nội thất ô tô
186,,Catering and Other Food Services,Dịch vụ nấu ăn 
187,,Catering and Other Food Services ,"Nấu tiệc, đặt cỗ"
188,,Cemetery,Nghĩa trang 
189,,Children's Apparel,Thời trang trẻ em
190,,Clothing and Accessories,Quần áo phụ kiện 
191,,Clothing and Accessories,"Túi xách, phụ kiện"
192,,Coffee shop ,Quán cà phê 
193,,Collective Community,"Nhà văn hóa, hợp tác xã"
194,,Computer and Software,Cửa hàng máy tính/ vi tính 
195,,Consumer Electronics Store,Cửa hàng điện thoại 
196,,Consumer Electronics Store,Đồ gia dụng 
197,,Consumer Electronics Store,Camera
198,,Consumer electronics store ,"Sim thẻ, card điện thoại"
199,,Consumer Goods ,Cửa hàng tạp hóa 
200,,Consumer Service,Trại hòm
201,,Consumer service ,"Phế liệu, ve chai, sắt vụn"
202,,Consumer service ,Dịch vụ mai táng 
203,,Consumer service ,Cầm đồ
204,,Convenience Store,Cửa hàng tạp hóa/ tiện lợi Family Mart/ Ministop
205,,Court House,Tòa án 
206,,Dentist-Dental Office,"Phòng khám răng, nha khoa "
207,,Dry Cleaning and Laundry,Giặt ủi
208,,Embassy,Đại sứ quán 
209,,Farming,Vườn dâu
210,,Finance and Insurance,Công ty bảo hiểm 
211,,Finance and Insurance,"Quỹ tín dụng, quỹ đầu tư"
212,,Fitness-Health Club,Phòng tập gym/ yoga
213,,Floor and Carpet,Gỗ lót sàn 
214,,Flowers and Jewelry,Tiệm hoa 
215,,Flowers and Jewelry,"Trang sức, vàng bạc đá quý"
216,,Food -market stall ,"Rau má Mix, nước mía"
217,,Food Production,Chả giò nhà làm 
218,,Food production,Lò Bánh Mì
219,,Food-beverage specialty store   ,Bánh tráng trộn 
220,,Food-beverage specialty store   ,Trà sữa 
221,,Food-beverage specialty store   ,Cá viên chiên 
222,,Food-beverage specialty store   ,Sinh tố 
223,,Food-beverage specialty store   ,Tiệm kem 
224,,Food-beverage specialty store   ,Hải sản (tươi sống)
225,,Food-beverage specialty store   ,Giò Chả
226,,Food-beverage specialty store   ,Trái cây
227,,Furniture Store,Cửa hàng nội thất
228,,Furniture Store,Thủ công mỹ nghệ
229,,Gardent,"Phân bón, làm vườn"
230,,"Gift, Antique and Art",Đồ lưu niệm 
231,,Glass and Window,Cửa hàng gương kính 
232,,Government Office,Sở tài nguyền 
233,,Government Office,Bộ tài chính 
234,,Government Office,Bộ nông nghiệp 
235,,Government Office,Ủy ban nhân dân xã/ phường 
236,,Government Office,Trạm biến áp
237,,Grocery ,Cửa hàng tạp hóa 
238,,Guest house ,Nhà nghỉ 
239,,Guest house ,Nhà Khách
240,,Hair and beauty,"Cắt tóc nam-nữ, cắt tóc nữ"
241,,Hair and Beauty ,"Tiệm Tóc (nam, nữ)"
242,,Hair and Beauty ,Bán mỹ phẩm 
243,,Hair and Beauty ,Nails 
244,,Hair and Beauty ,Gội đầu
245,,Hair and Beauty ,"Nail, mi, móng"
246,,Higher education ,Trường đại học 
247,,Home Improvement-Hardware Store,"Vật liệu xây dựng (Inox, sắt, xi măng)"
248,,Home Improvement-Hardware Store,"Bồn cầu, vòi sen, bồn tắm "
249,,Home Improvement-Hardware Store,Cửa hàng kim khí
250,,Home Improvement-Hardware Store,"Máy cưa, cắt cỏ"
251,,Home Improvement-Hardware Store,Điện nước
252,,Home improvement-Hardware Store,"Điện cơ, điện lạnh"
253,,Home improvement-Hardware Store,"Đèn Led, điện, bóng đèn"
254,,Home Specialty Store,Cửa hàng phụ kiện nội thất 
255,,Hospital ,Bệnh viện 
256,,Hotel ,Khách sản 
257,,Interior and Exterior Design,Cửa hàng thiết kế nội thất 
258,,Internet Cafe,Tiệm net
259,,Kinder ,Trường mầm non
260,,Library,Thư viện 
261,,Lumber,Cửa hàng gỗ 
262,,Medical Services-Clinics,Phòng khám 
263,,Men's Apparel,Thời trang nam 
264,,Motorcycle Accessories,Phụ kiện xe máy 
265,,Motorcycle Accessories,Dán decal xe máy
266,,Motorcycle Dealership,Bán xe máy 
267,,Motorcycle Service and Maintenance,Bảo trì xe máy 
268,,Night club ,Vũ trường
269,,Night club ,"Hộp đêm, Pub, Longue"
270,,Nightlife entertainment ,Phòng trà 
271,,Nursing home ,Viện dưỡng lão 
272,,Office Supply and Services Store,"Tiệm photo, in ấn, photocoppy"
273,,Office Supply and Services Store,Tiệm thiết kế đồ họa 
274,,Office Supply and Services Store,Văn phòng phẩm 
275,,Optical,Hiệu kính mắt 
276,,Paint Store,Cửa hàng sơn
277,,Parking ,Nhà gửi xe 
278,,Parking ,"Giữ xe, đậu xe"
279,,Pet care ,Dịch vụ thú cưng
280,,Pet supply ,Phòng khám thú y 
281,,Petrol-Gasoline Station,Trạm xăng 
282,,Pharmacy ,Nhà thuốc 
283,,Photography ,Chụp ảnh thẻ 
284,,Police Station,Công an phường
285,,Post Office ,Bưu điện 
286,,Post Office ,Dịch vụ chuyển phát 
287,,Printing and Publishing,"Công ty in ấn (in báo mềm, tạp chí) "
288,,Property Management,Bất động sản 
289,,Property Management,"Mua bán nhà đất, bất động sản"
290,,Rental and Leasing,Nhà trọ 
291,,Rental and Leasing,Dịch vụ cho thuê xe máy 
292,,Rental Car Agency,Đại lý thuê xe ô tô
293,,Repair service ,Sửa điện thoại
294,,Residential Area-Building,Chung cư 
295,,Residential Area-Building,Kí Túc Xá
296,,Restaurant,Quán nhậu
297,,Restaurant,"Bún đậu, bún chả"
298,,Restaurant ,Quán cơm 
299,,Restaurant ,Hủ tiếu 
300,,Restaurant ,Phở 
301,,Restaurant ,Bún 
302,,Restaurant ,Hải sản (chế biến)
303,,Restaurant ,Ốc 
304,,Restaurant ,Bánh cuốn 
305,,Restaurant ,"Bia hơi/ rượu 	"
306,,School ,Trường tiếu học/ trung học cơ sở/ phổ thông 
307,,Shoes-Footwear,Cửa hàng giày 
308,,Soccer Club,Sân bóng đá 
309,,Specialty store ,Vé số 
310,,Specialty store ,Bán gạo 
311,,Specialty store ,Cửa hàng bán gas
312,,Specialty store ,Phụ kiện điện thoại 
313,,Specialty store ,Máy bơm 
314,,Specialty store ,Cửa hàng đồ da 
315,,Specialty store ,Phong Thủy
316,,Specialty store ,Cửa hàng mẹ và bé
317,,Specialty store ,"Yến sào, các loại đặc sản"
318,,Sporting Goods Store,Quần áo thể thao 
319,,Swimming Pool,Hồ bơi 
320,,Tailor and Alteration,Sửa quần áo 
321,,Train Station ,Ga tàu 
322,,Training and Development,Lớp Piano 
323,,Training and Development,"Dạy thêm (Toán, Lí, Hóa)"
324,,Training and Development,Trung tâm Tiếng Anh 
325,,Transportation Service ,Nhà xe 
326,,Travel Agent-Ticketing,Công ty tư vấn du lịch 
327,,Travel Agent-Ticketing,Đại lý du lịch 
328,,Truck Dealership,Đại lý xe tải 
329,,Vaping Store,"Thuốc lá điện tử, Vape"
330,,Wedding Services and Bridal Studio,Cửa hàng váy cưới 
331,,Wedding Services and Bridal Studio,Chụp hình cưới 
332,,Wedding Services and Bridal Studio,Wedding studio 
333,,Wellness Center and Services,Thẩm mỹ viện 
334,,Wellness Center and Services,Spa 
335,,Wine and Liquor ,Cửa hàng rượu vang 
336,,Women's Apparel,Thời trang nữ 
337,,Motorcycle Dealership,"Sửa chữa xe điện, mua bán xe điện"
338,,Floor and Carpet,"Sàn, sàn nhà, sàn gỗ"
339,,Consumer Service,Khắc bia mộ
340,,Post Office ,"Express, giao hàng, vận chuyển"
341,,Hair and beauty,"Phun xăm thẩm mỹ, nail, mi móng"
342,,Attorney,"Công chứng, luật sư"
343,,Consumer Service,Dịch thuật
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
